price,address,bds,ba,sqft,sqftlot
"$325,000","4811 Kupreanof St, Anchorage, AK 99507",4,2,"1,728","7,405"
"$459,000","10621 Cutter Cir, Anchorage, AK 99515",4,2.5,"2,060","6,970"
"$354,900","3110 South Cir, Anchorage, AK 99507",4,2,"2,044",0.31acre
"$619,000","18617 Mountain Plover Cir, Anchorage, AK 99516",4,3.5,"3,257",0.24acre
"$567,000","17463 Yellowstone Dr, Eagle River, AK 99577",3,2.5,"2,545",0.33acre
"$224,900","5216 Sleepy Meadow Pl, Anchorage, AK 99507",3,2,"1,369",Null
"$135,000","4240 Folker St Apt B103, Anchorage, AK 99508",2,2,818,Null
"$530,000","23528 Northwoods Cir, Chugiak, AK 99567",4,4,"2,734",0.92acre
"$285,000","1721 Commodore Dr, Anchorage, AK 99507",3,2.5,"1,686","4,792"
"$132,000","1481 Northview Dr Unit H2, Anchorage, AK 99504",2,1,"1,010",Null
"$400,000","3559 Newcomb Dr, Anchorage, AK 99508",4,2.5,"2,874","9,583"
"$559,900","11063 Kaskanak Dr, Eagle River, AK 99577",3,3.5,"3,507",0.23acre
"$279,000","8610 Kathleen Dr, Anchorage, AK 99502",3,1,"1,198","8,712"
"$299,500","1850 Commodore Dr, Anchorage, AK 99507",3,2.5,"1,495","3,920"
"$155,000","329 E 14th Ave Apt 12, Anchorage, AK 99501",2,2,977,Null
"$345,000","2128 Sorbus Way, Anchorage, AK 99508",2,2.5,"2,196","2,614"
"$307,000","1408 Nichols St, Anchorage, AK 99508",5,2,"2,135","7,841"
"$309,000","1110 E 112th Ave Apt 6, Anchorage, AK 99515",3,2,"1,699",Null
"$380,000","3752 Lincoln Ellsworth Ct Unit B, Anchorage, AK 99517",3,2.5,"1,917",Null
"$589,000","9030 Spruce Run Cir, Anchorage, AK 99507",5,3.5,"3,468","8,712"
"$340,000","101 W 13th Ave Unit 201, Anchorage, AK 99501",2,2,"1,459",Null
"$715,000","4900 Hillandale Ave, Anchorage, AK 99516",4,3,"3,864",1.31acre
"$575,000","4801 E 145th Ave, Anchorage, AK 99516",4,3,"2,182",0.92acre
"$485,000","1217 Crescent Dr, Anchorage, AK 99508",6,5,"2,864",0.25acre
"$412,000","1741 Adams Cir, Anchorage, AK 99515",4,2.5,"2,187","6,534"
"$420,000","101 Pettis Rd, Anchorage, AK 99515",5,2.5,"1,910",0.25acre
"$639,900","2111 Belmont Dr, Anchorage, AK 99517",4,2.5,"3,010",0.27acre
"$369,500","22735 Lake Hill Dr, Chugiak, AK 99567",3,2,"2,388",0.34acre
"$269,000","3040 Leighton St Unit 4A, Anchorage, AK 99517",2,2,"1,390",Null
"$339,000","9746 Niltina Ln, Eagle River, AK 99577",3,2,"1,258",0.23acre
"$263,500","303 Crystal Mountain Rd Unit B3, Girdwood, AK 99587",1,1,659,Null
"$789,000","L2 Emerald Grv, Anchorage, AK 99516",4,4,"2,749",1.01acre
"$490,000","2202 W 45th Ave, Anchorage, AK 99517",6,4,"2,856","6,970"
"$139,750","7622 Boundary Ave, Anchorage, AK 99504",3,2,"1,210",Null
"$249,900","841 Hunt Cir, Anchorage, AK 99504",3,2.5,"1,879","6,098"
"$254,900","420 W 91st Ave, Anchorage, AK 99515",4,2,"1,824","7,405"
"$385,000","801 W 20th Ave, Anchorage, AK 99503",3,2,"1,640","6,970"
"$205,000","281 Dailey Ave Unit 15, Anchorage, AK 99515",2,1.5,"1,202",Null
"$198,500","3901 Resurrection Dr, Anchorage, AK 99504",2,1.5,"1,560","3,485"
"$224,900","6417 E 10th Ave, Anchorage, AK 99504",3,2.5,"1,650",Null
"$499,000","2401 Douglas Dr, Anchorage, AK 99517",4,2.5,"2,077","9,583"
"$425,000","19118 Jamie Dr, Eagle River, AK 99577",4,3,"3,370",1.83acre
"$235,000","3804 Wilson St, Anchorage, AK 99503",3,1.5,"1,400",0.26acre
"$87,500","3041 Lois Dr Apt 402, Anchorage, AK 99517",1,1,580,Null
"$292,000","9831 Whitefish Cir, Anchorage, AK 99515",3,2.5,"1,636","7,841"
"$399,500","5700 E 99th Ave, Anchorage, AK 99507",5,4.5,"4,429",0.37acre
"$235,000","3700 Carleton Ave, Anchorage, AK 99517",3,2,"1,377",Null
"$290,000","908 W 58th Ave, Anchorage, AK 99518",4,2,"1,978","6,970"
"$140,000","3440 W 86th Ave Apt 10A, Anchorage, AK 99502",2,1,835,Null
"$320,000","3300 E 42nd Ave, Anchorage, AK 99508",5,2,"2,288","8,276"
"$214,900","6259 E 41st Ct Unit 107, Anchorage, AK 99504",3,2,"1,590",Null
"$138,000","1521 Early View Dr, Anchorage, AK 99504",3,1,"1,005",Null
"$359,900","6608 Lakeway Dr, Anchorage, AK 99502",3,2.5,"1,824","2,614"
"$325,000","4811 Kupreanof St, Anchorage, AK 99507",4,2,"1,728","7,405"
"$459,000","10621 Cutter Cir, Anchorage, AK 99515",4,2.5,"2,060","6,970"
"$354,900","3110 South Cir, Anchorage, AK 99507",4,2,"2,044",0.31acre
